Image Name,Source,D(0),D(1),D(2),Delta01,Delta02,|D(0)|,|D(1)|,|D(2)|,|Delta01|,|Delta02|
r10893508t.png,dalle2,1.1865,1.8000,1.8780,-0.6135,-0.6915,1.1865,1.8000,1.8780,0.6135,0.6915
r10940798t.png,dalle2,0.6491,1.3048,1.9924,-0.6557,-1.3433,0.6491,1.3048,1.9924,0.6557,1.3433
r11850456t.png,dalle2,1.5374,1.3697,2.3382,0.1677,-0.8008,1.5374,1.3697,2.3382,0.1677,0.8008
r12133015t.png,dalle2,0.9083,2.2287,1.8479,-1.3204,-0.9396,0.9083,2.2287,1.8479,1.3204,0.9396
r12946364t.png,dalle2,1.3638,3.8844,2.3300,-2.5206,-0.9661,1.3638,3.8844,2.3300,2.5206,0.9661
r13073518t.png,dalle2,1.4754,1.9229,2.5357,-0.4475,-1.0603,1.4754,1.9229,2.5357,0.4475,1.0603
r13837601t.png,dalle2,1.2971,1.5642,3.4235,-0.2671,-2.1264,1.2971,1.5642,3.4235,0.2671,2.1264
r13907965t.png,dalle2,0.8712,2.2827,1.9123,-1.4115,-1.0411,0.8712,2.2827,1.9123,1.4115,1.0411
r13928401t.png,dalle2,0.6334,1.5074,1.8430,-0.8740,-1.2096,0.6334,1.5074,1.8430,0.8740,1.2096
r14289905t.png,dalle2,2.5941,2.3909,3.6710,0.2033,-1.0768,2.5941,2.3909,3.6710,0.2033,1.0768
r15885978t.png,dalle2,1.6105,2.5006,2.4109,-0.8900,-0.8004,1.6105,2.5006,2.4109,0.8900,0.8004
r15919202t.png,dalle2,1.2745,1.4575,3.0740,-0.1830,-1.7995,1.2745,1.4575,3.0740,0.1830,1.7995
r16422663t.png,dalle2,1.2002,3.0135,2.0042,-1.8133,-0.8040,1.2002,3.0135,2.0042,1.8133,0.8040
r16509308t.png,dalle2,0.8203,1.8708,2.8665,-1.0505,-2.0462,0.8203,1.8708,2.8665,1.0505,2.0462
r16654024t.png,dalle2,13.2357,7.6537,10.1986,5.5820,3.0371,13.2357,7.6537,10.1986,5.5820,3.0371
r17217693t.png,dalle2,1.2971,1.4072,3.0060,-0.1101,-1.7089,1.2971,1.4072,3.0060,0.1101,1.7089
r18791531t.png,dalle2,1.3303,3.1498,1.4423,-1.8195,-0.1120,1.3303,3.1498,1.4423,1.8195,0.1120
r18798194t.png,dalle2,0.5788,0.7751,1.8878,-0.1963,-1.3090,0.5788,0.7751,1.8878,0.1963,1.3090
r18990432t.png,dalle2,1.3907,2.8848,1.5841,-1.4942,-0.1934,1.3907,2.8848,1.5841,1.4942,0.1934
r19183258t.png,dalle2,0.8448,2.8524,2.0284,-2.0076,-1.1836,0.8448,2.8524,2.0284,2.0076,1.1836
r10893508t.png,dalle3,0.8820,1.3913,2.8272,-0.5093,-1.9451,0.8820,1.3913,2.8272,0.5093,1.9451
r10940798t.png,dalle3,1.1319,1.7843,2.2603,-0.6525,-1.1284,1.1319,1.7843,2.2603,0.6525,1.1284
r11850456t.png,dalle3,0.7598,1.7297,2.0230,-0.9699,-1.2631,0.7598,1.7297,2.0230,0.9699,1.2631
r12133015t.png,dalle3,1.5107,2.8216,1.7900,-1.3109,-0.2794,1.5107,2.8216,1.7900,1.3109,0.2794
r12946364t.png,dalle3,0.8710,1.7207,2.0978,-0.8497,-1.2268,0.8710,1.7207,2.0978,0.8497,1.2268
r13073518t.png,dalle3,1.0479,1.6348,2.1899,-0.5869,-1.1420,1.0479,1.6348,2.1899,0.5869,1.1420
r13837601t.png,dalle3,1.1748,1.4591,3.1612,-0.2843,-1.9864,1.1748,1.4591,3.1612,0.2843,1.9864
r13907965t.png,dalle3,1.1378,1.6318,2.5954,-0.4941,-1.4576,1.1378,1.6318,2.5954,0.4941,1.4576
r13928401t.png,dalle3,0.3998,1.4067,1.9648,-1.0068,-1.5650,0.3998,1.4067,1.9648,1.0068,1.5650
r14289905t.png,dalle3,2.8666,3.0566,2.9487,-0.1900,-0.0820,2.8666,3.0566,2.9487,0.1900,0.0820
r15885978t.png,dalle3,1.4085,1.7566,2.4493,-0.3481,-1.0409,1.4085,1.7566,2.4493,0.3481,1.0409
r15919202t.png,dalle3,1.0472,1.6947,2.4084,-0.6476,-1.3613,1.0472,1.6947,2.4084,0.6476,1.3613
r16422663t.png,dalle3,1.0968,1.4795,3.0435,-0.3827,-1.9468,1.0968,1.4795,3.0435,0.3827,1.9468
